"sale_date"	"sale_price"	"sale_reason"	"sale_instrument"	"sale_warning"	"sitetype"	"addr_full"	"zip5"	"ctyname"	"postalctyn"	"lon"	"lat"	"building_grade"	"square_feet_total_living"	"bedrooms"	"bath_full_count"	"bath_half_count"	"bath_3qtr_count"	"year_built"	"year_renovated"	"current_zoning"	"sq_ft_lot"	"prop_type"	"present_use"	"residuals"	"std_residuals"	"stu_residuals"	"cooks_distance"	"dfbeta.(Intercept)"	"dfbeta.bath_full_count"	"dfbeta.building_grade"	"dfbeta.square_feet_total_living"	"dffit"	"leverage"	"covariance_ratios"
2006-01-03	 698000	 1	 3	NA	"R1"	"17021 NE 113TH CT"	98052	"REDMOND"	"REDMOND"	-122.1124	47.70139	 9	 2810	 4	 2	1	0	2003	   0	"R4"	   6635	"R"	  2	-3.842134e+04	-1.072424e-01	-1.072382e-01	3.640134e-07	 1.787797e+01	-5.540776e-01	-2.967262e+00	 1.804728e-03	-1.206624e-03	1.265871e-04	1.0004341
2006-01-03	 649990	 1	 3	NA	"R1"	"11927 178TH PL NE"	98052	"REDMOND"	"REDMOND"	-122.1022	47.70731	 9	 2880	 4	 2	0	1	2006	   0	"R4"	   5570	"R"	  2	-9.627737e+04	-2.687305e-01	-2.687208e-01	2.184262e-06	 4.101701e+01	-9.425808e-01	-6.667526e+00	 3.204093e-03	-2.955743e-03	1.209702e-04	1.0004096
2006-01-03	 572500	 1	 3	NA	"R1"	"13315 174TH AVE NE"	98052	NA	"REDMOND"	-122.1085	47.71986	 8	 2770	 4	 1	1	1	1987	   0	"R6"	   8444	"R"	  2	-8.287589e+04	-2.313433e-01	-2.313348e-01	3.836162e-06	-4.048466e+01	 1.764269e+01	 3.481191e+00	-1.038589e-02	-3.917081e-03	2.866280e-04	1.0005812
2006-01-03	 420000	 1	 3	NA	"R1"	"3303 178TH AVE NE"	98052	"REDMOND"	"REDMOND"	-122.1037	47.63914	 8	 1620	 3	 1	0	1	1968	   0	"R4"	   9600	"R"	  2	-7.361961e+04	-2.055019e-01	-2.054942e-01	2.715378e-06	 1.155393e+01	 1.007025e+01	-6.555478e+00	 7.336554e-03	-3.295558e-03	2.571266e-04	1.0005552
2006-01-03	 369900	 1	 3	"15"	"R1"	"16126 NE 108TH CT"	98052	"REDMOND"	"REDMOND"	-122.1242	47.69748	 7	 1440	 3	 1	0	1	1980	   0	"R6"	   7526	"R"	  2	-5.819611e+04	-1.624464e-01	-1.624403e-01	1.512237e-06	-3.693891e+01	 5.804433e+00	 2.291733e+00	 1.216962e-03	-2.459368e-03	2.291712e-04	1.0005322
2006-01-03	 184667	 1	15	"18 51"	"R1"	"8101 229TH DR NE"	98053	NA	"REDMOND"	-122.0341	47.67545	 7	 4160	 4	 2	1	1	2005	   0	"URPSO"	   7280	"R"	  2	-6.612319e+05	-1.846688e+00	-1.846861e+00	1.073993e-03	-1.375234e+03	 1.629828e+01	 2.478637e+02	-2.945616e-01	-6.554982e-02	1.258136e-03	1.0005093
2006-01-04	1050000	 1	 3	NA	"R1"	"21634 NE 87TH PL"	98053	NA	"REDMOND"	-122.0507	47.68053	10	 3960	 5	 3	0	1	1993	   0	"RA5"	  97574	"R"	  2	 7.640324e+04	 2.132873e-01	 2.132794e-01	4.550757e-06	-6.084532e+01	 1.285898e+01	 5.348395e+00	-1.624928e-04	 4.266342e-03	3.999813e-04	1.0006972
2006-01-04	 875000	 1	 3	NA	"R1"	"21404 NE 67TH ST"	98053	NA	"REDMOND"	-122.0555	47.66510	10	 3720	 4	 2	1	0	1988	   0	"RA5"	  30649	"R"	  2	-2.962491e+04	-8.269676e-02	-8.269357e-02	5.114495e-07	 2.510404e+01	 2.101126e+00	-3.628550e+00	-5.061877e-04	-1.430259e-03	2.990583e-04	1.0006082
2006-01-04	 660000	 1	 3	NA	"R1"	"7525 238TH AVE NE"	98053	NA	"REDMOND"	-122.0227	47.67208	 9	 4160	 4	 2	1	1	1978	   0	"RA5"	  42688	"R"	  2	-2.663091e+05	-7.434125e-01	-7.433996e-01	4.923421e-05	-7.784917e+01	 1.994758e+01	 2.040141e+01	-5.782592e-02	-1.403317e-02	3.562152e-04	1.0004955
2006-01-04	 650000	 1	 3	NA	"R1"	"17703 NE 26TH ST"	98052	"REDMOND"	"REDMOND"	-122.1039	47.63341	 8	 2760	 4	 1	0	1	1976	   0	"R3"	  94889	"R"	  2	-3.969317e+03	-1.108011e-02	-1.107967e-02	8.723416e-09	-1.916718e+00	 8.423629e-01	 1.622068e-01	-4.896627e-04	-1.867912e-04	2.841419e-04	1.0005954
2006-01-04	 599950	 1	 3	NA	"R1"	"14924 NE 74TH CT"	98052	"REDMOND"	"REDMOND"	-122.1411	47.67142	 9	 2180	 3	 2	1	0	1988	   0	"R5"	   7949	"R"	  2	-4.785703e+04	-1.335886e-01	-1.335835e-01	1.175411e-06	 3.919296e+01	-2.685053e+00	-7.132255e+00	 8.146393e-03	-2.168244e-03	2.633883e-04	1.0005691
2006-01-04	 526787	 1	 3	NA	"R1"	"7858 148TH CT NE"	98052	"REDMOND"	"REDMOND"	-122.1425	47.67407	 8	 2480	 3	 2	1	0	2005	   0	"R5"	   2647	"R"	  2	-1.230122e+05	-3.433491e-01	-3.433373e-01	2.893023e-06	-2.978024e+01	-7.550884e+00	 4.193175e+00	-2.977475e-04	-3.401661e-03	9.815161e-05	1.0003726
2006-01-04	 470000	 1	 3	NA	"R1"	"17905 NE 26TH ST"	98052	"REDMOND"	"REDMOND"	-122.1010	47.63319	 8	 2230	 4	 1	0	1	1975	   0	"R3"	  12070	"R"	  2	-1.094208e+05	-3.054298e-01	-3.054191e-01	4.860179e-06	-2.028720e+01	 1.938259e+01	-2.137143e+00	-2.152957e-03	-4.409007e-03	2.083526e-04	1.0004905
2006-01-04	 165000	 1	 3	NA	"R1"	"2921 288TH AVE NE"	98053	NA	"REDMOND"	-121.9577	47.63382	 9	 1850	 3	 2	0	0	2011	   0	"RA5"	 278891	"R"	  2	-4.363900e+05	-1.218225e+00	-1.218248e+00	1.473543e-04	 4.382680e+02	-3.401656e+01	-8.145790e+01	 1.024696e-01	-2.427837e-02	3.970045e-04	1.0002465
2006-01-05	 803000	 1	 3	NA	"R1"	"3624 264TH AVE NE"	98053	NA	"REDMOND"	-121.9857	47.64184	10	 3180	 3	 2	1	0	1990	   0	"RA5"	  95013	"R"	  2	-2.566979e+04	-7.165757e-02	-7.165480e-02	4.335757e-07	 2.953366e+01	 9.034835e-01	-4.723979e+00	 2.273298e-03	-1.316878e-03	3.376402e-04	1.0006473
2006-01-05	 507950	 1	 3	NA	"R1"	"7850 148TH CT NE"	98052	"REDMOND"	"REDMOND"	-122.1425	47.67390	 8	 2480	 3	 2	1	0	2005	   0	"R5"	   3099	"R"	  2	-1.418492e+05	-3.959265e-01	-3.959136e-01	3.846886e-06	-3.434053e+01	-8.707160e+00	 4.835280e+00	-3.433419e-04	-3.922567e-03	9.815161e-05	1.0003605
2006-01-06	 765000	 1	 3	NA	"R1"	"8944 237TH PL NE"	98053	NA	"REDMOND"	-122.0230	47.68150	 9	 4000	 4	 2	1	1	2005	   0	"URPSO"	   7611	"R"	  2	-1.388039e+05	-3.874642e-01	-3.874514e-01	1.095366e-05	-2.810866e+01	 8.926850e+00	 8.101918e+00	-2.579297e-02	-6.619044e-03	2.917624e-04	1.0005563
2006-01-06	 589950	 1	 3	NA	"R1"	"11922 173RD PL NE"	98052	"REDMOND"	"REDMOND"	-122.1086	47.70678	 8	 2570	 4	 2	1	0	2005	   0	"R4"	   4737	"R"	  2	-7.250838e+04	-2.023841e-01	-2.023765e-01	1.025841e-06	-2.121565e+01	-4.019114e+00	 3.215162e+00	-1.451911e-03	-2.025601e-03	1.001714e-04	1.0003985
2006-01-09	 501000	 1	 3	NA	"R1"	"3201 176TH CT NE"	98052	"REDMOND"	"REDMOND"	-122.1055	47.63872	 8	 2620	 3	 1	0	2	1972	   0	"R4"	   9649	"R"	  2	-1.332772e+05	-3.720296e-01	-3.720171e-01	8.771756e-06	-5.388344e+01	 2.704854e+01	 3.319963e+00	-1.279070e-02	-5.923232e-03	2.534437e-04	1.0005216
2006-01-09	 372500	 1	 3	NA	"R1"	"26920 NE 50TH ST"	98053	NA	"REDMOND"	-121.9795	47.65158	 7	 1620	 3	 1	0	1	1977	   0	"RA5"	  47480	"R"	  2	-8.091448e+04	-2.258615e-01	-2.258532e-01	2.908191e-06	-5.953290e+01	 9.033938e+00	 4.846036e+00	-1.157098e-03	-3.410558e-03	2.279814e-04	1.0005233
2006-01-10	 513262	 1	 3	NA	"R1"	"11807 242ND PL NE"	98053	NA	"REDMOND"	-122.0162	47.70323	 8	 1930	 2	 2	0	0	2005	   0	"URPSO"	   4958	"R"	  2	-5.917549e+04	-1.651741e-01	-1.651678e-01	1.054978e-06	 3.937767e+00	-5.785727e+00	-1.691220e+00	 6.223049e-03	-2.054165e-03	1.546510e-04	1.0004573
2006-01-10	 482000	 1	 3	NA	"R1"	"9166 226TH PL NE"	98053	NA	"REDMOND"	-122.0376	47.68249	 7	 2360	 3	 2	1	0	2003	   0	"URPSO"	   4080	"R"	  2	-1.107151e+05	-3.090555e-01	-3.090446e-01	6.929557e-06	-1.181918e+02	-1.045948e+01	 1.875090e+01	-1.028592e-02	-5.264625e-03	2.901125e-04	1.0005716
2006-01-11	 765000	 1	 3	NA	"R1"	"4811 228TH AVE NE"	98053	NA	"REDMOND"	-122.0365	47.65149	 9	 3520	 4	 3	0	0	1987	   0	"RA5"	  35348	"R"	  2	-1.065023e+05	-2.973042e-01	-2.972936e-01	7.701688e-06	 1.602886e+01	-2.370190e+01	 3.068100e+00	-2.743078e-03	-5.550186e-03	3.484116e-04	1.0006322
2006-01-11	 372500	 1	 3	NA	"R2"	"8606 134TH CT NE"	98052	"REDMOND"	"REDMOND"	-122.1606	47.67987	 7	 1640	 2	 1	1	0	1986	   0	"R5"	   3279	"R"	  2	-8.372764e+04	-2.337141e-01	-2.337055e-01	3.122808e-06	-6.254252e+01	 9.458817e+00	 5.205341e+00	-1.524904e-03	-3.534164e-03	2.286315e-04	1.0005228
2006-01-11	 265000	 1	 3	NA	"R1"	"25149 NE PATTERSON WAY"	98053	NA	"REDMOND"	-122.0032	47.65814	10	 4920	 4	 4	1	0	2007	   0	"RA5"	 112650	"R"	  2	-8.788421e+05	-2.454163e+00	-2.454642e+00	1.568540e-03	 2.999749e+02	-3.164944e+02	 5.676629e+01	-1.051144e-01	-7.922508e-02	1.040631e-03	0.9994787
2006-01-12	1392000	 1	 3	NA	"R1"	"2428 W LAKE SAMMAMISH PKWY NE"	98052	"REDMOND"	"REDMOND"	-122.0879	47.63205	 9	 3740	 4	 3	2	1	1998	   0	"R4"	  17291	"R"	  2	 4.895530e+05	 1.366616e+00	 1.366662e+00	1.724496e-04	-1.322744e+01	 1.018248e+02	-2.637784e+01	 3.368081e-02	 2.626490e-02	3.692062e-04	1.0000994
2006-01-12	 717390	 1	 3	NA	"R1"	"16565 NE 119TH WAY"	98052	"REDMOND"	"REDMOND"	-122.1197	47.70583	 9	 3090	 3	 2	1	0	2006	   0	"R4"	   5760	"R"	  2	-5.841548e+04	-1.630495e-01	-1.630433e-01	7.685272e-07	 1.800271e+01	 2.396176e-01	-2.647720e+00	-4.554061e-04	-1.753247e-03	1.156192e-04	1.0004185
2006-01-12	 552000	 1	 3	NA	"R1"	"6128 145TH CT NE"	98052	"REDMOND"	"REDMOND"	-122.1463	47.66187	 9	 2050	 3	 2	0	0	1986	   0	"R5"	  10827	"R"	  2	-7.752153e+04	-2.163995e-01	-2.163915e-01	3.641366e-06	 6.914636e+01	-5.016417e+00	-1.270227e+01	 1.516820e-02	-3.816331e-03	3.109400e-04	1.0006076
2006-01-12	 470000	 1	 3	NA	"R1"	"14876 NE 78TH WAY"	98052	"REDMOND"	"REDMOND"	-122.1425	47.67380	 8	 2120	 3	 2	1	0	2005	   0	"R5"	   3962	"R"	  2	-1.291624e+05	-3.605198e-01	-3.605076e-01	3.956765e-06	-5.176718e+00	-1.100463e+01	-8.951179e-01	 8.782434e-03	-3.978189e-03	1.217556e-04	1.0003924
2006-01-13	 523935	 1	 3	NA	"R1"	"11823 242ND PL NE"	98053	NA	"REDMOND"	-122.0160	47.70348	 8	 1680	 2	 2	0	0	2005	   0	"URPSO"	   4764	"R"	  2	-1.333808e+04	-3.723124e-02	-3.722979e-02	7.606434e-08	 2.759015e+00	-1.524792e+00	-7.611964e-01	 2.055052e-03	-5.515739e-04	2.194476e-04	1.0005302
2006-01-13	 399900	 1	 3	NA	"R1"	"24307 NE VINE MAPLE WAY"	98053	NA	"REDMOND"	-122.0151	47.70263	 8	 1350	 2	 2	0	0	2005	   0	"URPSO"	   4781	"R"	 29	-9.095606e+04	-2.539057e-01	-2.538965e-01	5.520559e-06	 3.566408e+01	-1.238533e+01	-8.612172e+00	 1.988800e-02	-4.699003e-03	3.424124e-04	1.0006337
2006-01-13	 335105	 1	 3	NA	"R1"	"2543 174TH AVE NE"	98052	"REDMOND"	"REDMOND"	-122.1077	47.63326	 8	 1690	 3	 2	1	0	1979	   0	"R5"	   2752	"R"	 29	-2.035747e+05	-5.682470e-01	-5.682320e-01	1.747182e-05	 4.096730e+01	-2.313763e+01	-1.138587e+01	 3.096725e-02	-8.359641e-03	2.163864e-04	1.0004271
2006-01-16	 572950	 1	 3	NA	"R1"	"17264 NE 119TH WAY"	98052	"REDMOND"	"REDMOND"	-122.1095	47.70728	 8	 2530	 4	 2	1	0	2006	   0	"R4"	   3792	"R"	  2	-8.388207e+04	-2.341300e-01	-2.341214e-01	1.355242e-06	-2.266070e+01	-4.871507e+00	 3.337196e+00	-1.023380e-03	-2.328212e-03	9.888257e-05	1.0003929
2006-01-17	 949950	 1	 3	NA	"R1"	"11878 175TH PL NE"	98052	"REDMOND"	"REDMOND"	-122.1056	47.70671	10	 3840	 5	 3	1	0	2005	   0	"R4"	   6204	"R"	  2	-6.767844e+03	-1.889315e-02	-1.889242e-02	3.600482e-08	 5.845604e+00	-1.192801e+00	-5.663271e-01	 1.732929e-04	-3.794840e-04	4.033078e-04	1.0007146
2006-01-17	 905000	 1	 3	"41"	"R1"	"24215 NE 59TH LN"	98053	NA	"REDMOND"	-122.0145	47.65899	10	 3520	 4	 2	1	1	1998	   0	"RA2.5"	  46270	"R"	  2	 2.850661e+04	 7.957510e-02	 7.957203e-02	4.751345e-07	-2.735636e+01	-1.644583e+00	 4.141306e+00	-6.282940e-04	 1.378547e-03	3.000487e-04	1.0006093
2006-01-17	 750073	 1	 3	NA	"R1"	"12240 243RD PL NE"	98053	NA	"REDMOND"	-122.0148	47.70771	 8	 2300	 3	 2	1	0	2006	   0	"URPSO"	   5697	"R"	  2	 1.255922e+05	 3.505513e-01	 3.505393e-01	3.183604e-06	 1.771927e+01	 9.204774e+00	-1.705392e+00	-4.117762e-03	 3.568410e-03	1.036170e-04	1.0003765
2006-01-17	 526718	 1	 3	NA	"R1"	"23844 NE ADAIR RD"	98053	NA	"REDMOND"	-122.0202	47.70903	 8	 1680	 2	 2	0	0	2005	   0	"URPSO"	   6386	"R"	  2	-1.055508e+04	-2.946291e-02	-2.946177e-02	4.763406e-08	 2.183345e+00	-1.206643e+00	-6.023723e-01	 1.626264e-03	-4.364876e-04	2.194476e-04	1.0005304
2006-01-18	 690749	 1	 3	NA	"R1"	"12223 243RD PL NE"	98053	NA	"REDMOND"	-122.0155	47.70756	 8	 2305	 3	 2	1	0	2006	   0	"URPSO"	   7583	"R"	  2	 6.556490e+04	 1.830039e-01	 1.829970e-01	8.649292e-07	 9.434230e+00	 4.783628e+00	-9.276444e-01	-2.085539e-03	 1.859962e-03	1.032940e-04	1.0004040
2006-01-18	 640000	 1	 3	NA	"R1"	"22233 NE 46TH ST"	98053	NA	"REDMOND"	-122.0424	47.64993	 9	 3010	 4	 2	0	1	1986	   0	"RA5"	  35006	"R"	  2	-1.245529e+05	-3.476524e-01	-3.476405e-01	3.494038e-06	 4.397671e+01	-1.482552e-01	-6.780758e+00	 9.779733e-04	-3.738342e-03	1.156237e-04	1.0003891
2006-01-18	 485000	 1	 3	NA	"R1"	"17609 NE 141ST ST"	98052	NA	"REDMOND"	-122.1040	47.72588	 8	 1920	 3	 2	0	0	1986	   0	"R6"	   7560	"R"	  2	-8.603091e+04	-2.401348e-01	-2.401260e-01	2.260428e-06	 6.207633e+00	-8.468377e+00	-2.556773e+00	 9.215536e-03	-3.006834e-03	1.567735e-04	1.0004500
2006-01-18	 270000	 1	 3	NA	"R1"	"15918 NE 53RD ST"	98052	"REDMOND"	"REDMOND"	-122.1274	47.65571	 7	 2280	 5	 2	0	1	1966	   0	"R5"	  11180	"R"	  2	-3.114625e+05	-8.694253e-01	-8.694171e-01	5.226680e-05	-3.185065e+02	-3.107268e+01	 4.990961e+01	-2.406133e-02	-1.445902e-02	2.765038e-04	1.0003525
2006-01-19	 480000	 1	 3	NA	"R1"	"2600 181ST AVE NE"	98052	"REDMOND"	"REDMOND"	-122.0988	47.63293	 8	 2580	 4	 2	0	1	1972	   0	"R3"	   7600	"R"	  2	-1.838650e+05	-5.132007e-01	-5.131860e-01	6.623981e-06	-5.482990e+01	-1.006994e+01	 8.362422e+00	-4.041352e-03	-5.147272e-03	1.005914e-04	1.0003298
2006-01-19	 450400	 1	 3	NA	"R1"	"8727 140TH CT NE"	98052	"REDMOND"	"REDMOND"	-122.1529	47.68145	 8	 2080	 3	 1	1	1	1983	   0	"R5"	   7640	"R"	  2	-1.079221e+05	-3.012464e-01	-3.012357e-01	4.693882e-06	-1.092427e+01	 1.804609e+01	-3.952525e+00	 1.043228e-03	-4.332921e-03	2.068515e-04	1.0004898
